Channel,Patch,Mode,Fixture,Purpose,Mode,Location,"Filters, Gobos"
307,E.244,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC BOTTOM,"RGB All Mode, 3 chs",,
308,E.247,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC BOTTOM,"RGB All Mode, 3 chs",,
309,E.250,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC BOTTOM,"RGB All Mode, 3 chs",,
311,E.253,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC TOP,"RGB All Mode, 3 chs",,
312,E.256,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC TOP,"RGB All Mode, 3 chs",,
313,E.259,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC TOP,"RGB All Mode, 3 chs",,
314,E.262,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC TOP,"RGB All Mode, 3 chs",,
315,E.265,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC TOP,"RGB All Mode, 3 chs",,
316,E.268,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC TOP,"RGB All Mode, 3 chs",,
317,E.271,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC TOP,"RGB All Mode, 3 chs",,
318,E.274,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC TOP,"RGB All Mode, 3 chs",,
319,E.277,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC TOP,"RGB All Mode, 3 chs",,
901,A.29,"Control, 1 ch",ETC Source Four Fresnel,HOUSE LIGHTS,"Control, 1 ch",,
901,A.29,"Control, 1 ch",ETC Source Four Fresnel,HOUSE LIGHTS,"Control, 1 ch",,
901,A.29,"Control, 1 ch",ETC Source Four Fresnel,HOUSE LIGHTS,"Control, 1 ch",,
901,A.29,"Control, 1 ch",ETC Source Four Fresnel,HOUSE LIGHTS,"Control, 1 ch",,
901,A.29,"Control, 1 ch",ETC Source Four Fresnel,HOUSE LIGHTS,"Control, 1 ch",,
911,A.30,"Control, 1 ch","De Sisti Lighting Rembrandt 1,2-2,5kW",STAGE WORKS,"Control, 1 ch",,
911,A.30,"Control, 1 ch","De Sisti Lighting Rembrandt 1,2-2,5kW",STAGE WORKS,"Control, 1 ch",,
911,A.30,"Control, 1 ch","De Sisti Lighting Rembrandt 1,2-2,5kW",STAGE WORKS,"Control, 1 ch",,
911,A.30,"Control, 1 ch","De Sisti Lighting Rembrandt 1,2-2,5kW",STAGE WORKS,"Control, 1 ch",,
911,A.30,"Control, 1 ch","De Sisti Lighting Rembrandt 1,2-2,5kW",STAGE WORKS,"Control, 1 ch",,
911,A.30,"Control, 1 ch","De Sisti Lighting Rembrandt 1,2-2,5kW",STAGE WORKS,"Control, 1 ch",,
,,,,,,,
